false|90|0|1|0|0|0|.
false|50|0|1|0|0|0|<
false|30|0|1|22|0|0|<
true|10|20|2|44|0|16|<
true|30|40|2|44|32|48|=
true|0|0|0|44|0|0|>
false|70|90|2|22|0|0|=
true|50|60|2|137|64|80|<
true|70|80|2|137|96|112|=
true|90|100|2|137|128|144|>
true|0|0|0|22|0|0|>
false|130|0|1|0|0|0|=
false|110|130|2|264|0|0|<
true|90|100|2|287|128|144|<
true|110|120|2|287|160|176|=
true|130|140|2|287|192|208|>
false|150|170|2|264|0|0|=
true|130|140|2|403|192|208|<
true|150|160|2|403|224|240|=
true|170|180|2|403|256|272|>
true|0|0|0|264|0|0|>
true|0|0|0|0|0|0|>
